t_rel_s,event,seq,info
0.0,meta_sent,-1,deneme=0
0.002823,send,0,
0.002975,send,1,
0.003163,send,2,
0.003292,send,3,
0.003302,send,4,
0.003557,send,5,
0.003646,send,6,
0.003739,send,7,
0.003866,send,8,
0.003872,send,9,
0.003997,send,10,
0.004099,send,11,
0.005077,send,12,
0.005352,send,13,
0.005807,send,14,
0.006565,send,15,
0.006764,ack,2,
0.007064,ack,0,
0.007409,send,16,
0.007473,ack,1,
0.007994,send,17,
0.008136,send,18,
0.008154,ack,3,
0.008522,send,19,
0.00859,ack,7,
0.008618,ack,8,
0.008644,ack,10,
0.00867,ack,5,
0.009184,ack,6,
0.009199,ack,12,
0.009447,ack,11,
0.009587,ack,14,
0.009791,ack,13,
0.010425,ack,17,
0.010591,ack,16,
0.01095,ack,18,
0.011178,ack,19,
0.104531,timeout,4,deneme=0
0.105181,retransmit,4,
0.105192,timeout,9,deneme=0
0.105696,retransmit,9,
0.106923,timeout,15,deneme=0
0.108345,retransmit,15,
0.110384,ack,4,
0.110754,send,20,
0.111217,send,21,
0.111597,send,22,
0.112122,send,23,
0.112911,send,24,
0.112964,ack,9,
0.113336,send,25,
0.113777,send,26,
0.115456,send,27,
0.115764,send,28,
0.115777,send,29,
0.116003,send,30,
0.116047,ack,15,
0.117616,send,31,
0.118163,send,32,
0.118742,send,33,
0.118968,send,34,
0.119202,send,35,
0.119267,ack,20,
0.119959,send,36,
0.120112,ack,23,
0.120142,ack,26,
0.120199,ack,25,
0.120219,ack,27,
0.12049,ack,28,
0.120516,ack,30,
0.121091,ack,31,
0.12143,ack,32,
0.122281,ack,34,
0.122793,ack,33,
0.122863,ack,35,
0.122972,ack,36,
0.212253,timeout,21,deneme=0
0.212628,retransmit,21,
0.212632,timeout,22,deneme=0
0.212778,retransmit,22,
0.214134,timeout,24,deneme=0
0.214274,retransmit,24,
0.214695,ack,21,
0.214954,send,37,
0.214973,ack,22,
0.215101,send,38,
0.215466,send,39,
0.216391,ack,24,
0.216395,timeout,29,deneme=0
0.216661,retransmit,29,
0.216729,send,40,
0.216734,send,41,
0.216896,send,42,
0.217084,send,43,
0.217094,send,44,
0.217337,ack,37,
0.218658,ack,38,
0.218682,ack,39,
0.218806,ack,40,
0.219392,ack,29,
0.219518,send,45,
0.219614,send,46,
0.219745,send,47,
0.219915,send,48,
0.220089,send,49,
0.220274,send,50,
0.220418,send,51,
0.22061,send,52,
0.220805,send,53,
0.220833,send,54,
0.22153,send,55,
0.221634,send,56,
0.222065,ack,43,
0.222101,ack,45,
0.22245,ack,46,
0.223259,ack,47,
0.22355,ack,48,
0.223841,ack,49,
0.223932,ack,52,
0.223942,ack,53,
0.224396,ack,51,
0.224485,ack,50,
0.224681,ack,55,
0.22516,ack,56,
0.31765,timeout,41,deneme=0
0.318321,retransmit,41,
0.318332,timeout,42,deneme=0
0.318796,retransmit,42,
0.318807,timeout,44,deneme=0
0.320002,retransmit,44,
0.321503,timeout,54,deneme=0
0.322783,retransmit,54,
0.323071,ack,42,
0.323119,ack,41,
0.323501,send,57,
0.324154,send,58,
0.325294,send,59,
0.325347,ack,44,
0.326016,send,60,
0.326848,send,61,
0.326863,send,62,
0.32725,send,63,
0.328303,send,64,
0.329093,send,65,
0.329106,send,66,
0.329555,send,67,
0.329936,send,68,
0.330272,send,69,
0.330317,ack,54,
0.330849,send,70,
0.331502,send,71,
0.331992,send,72,
0.332018,ack,57,
0.332397,send,73,
0.33242,ack,58,
0.332817,send,74,
0.332863,ack,59,
0.333227,send,75,
0.33325,ack,60,
0.333725,send,76,
0.333768,ack,61,
0.333992,send,77,
0.334014,ack,63,
0.33403,ack,64,
0.334244,ack,65,
0.33433,ack,67,
0.334366,ack,68,
0.33438,ack,70,
0.334389,ack,69,
0.334921,ack,71,
0.33564,ack,72,
0.335656,ack,75,
0.335934,ack,77,
0.336008,ack,74,
0.33635,ack,76,
0.427745,timeout,62,deneme=0
0.428515,retransmit,62,
0.42982,timeout,66,deneme=0
0.430196,retransmit,66,
0.432436,ack,62,
0.432451,timeout,73,deneme=0
0.432937,retransmit,73,
0.433461,send,78,
0.433821,send,79,
0.434551,send,80,
0.435234,send,81,
0.435505,ack,66,
0.436367,send,82,
0.437188,send,83,
0.437223,send,84,
0.438008,send,85,
0.439394,send,86,
0.439925,send,87,
0.441432,send,88,
0.441653,ack,73,
0.442736,send,89,
0.443436,send,90,
0.44345,send,91,
0.44387,send,92,
0.444154,send,93,
0.444207,ack,78,
0.444492,send,94,
0.444524,ack,79,
0.444763,send,95,
0.44493,ack,81,
0.444976,ack,82,
0.444994,ack,85,
0.44577,ack,83,
0.446818,ack,87,
0.446864,ack,86,
0.447546,ack,89,
0.447734,ack,92,
0.447863,ack,90,
0.448007,ack,88,
0.448264,ack,95,
0.448344,ack,94,
0.44859,ack,93,
0.535053,timeout,80,deneme=0
0.535724,retransmit,80,
0.538004,timeout,84,deneme=0
0.538721,retransmit,84,
0.538811,ack,80,
0.539331,send,96,
0.540513,send,97,
0.541684,send,98,
0.542547,send,99,
0.543337,ack,84,
0.544535,send,100,
0.54553,send,101,
0.546437,send,102,
0.546893,send,103,
0.547693,send,104,
0.548429,send,105,
0.549183,send,106,
0.549361,ack,96,
0.549371,timeout,91,deneme=0
0.550045,retransmit,91,
0.550261,ack,97,
0.550282,ack,98,
0.550407,ack,99,
0.550426,ack,100,
0.550439,ack,101,
0.550683,ack,102,
0.5512,ack,103,
0.551807,ack,105,
0.552246,ack,104,
0.552272,ack,106,
0.552481,ack,91,
0.552686,send,107,
0.5527,send,108,
0.552908,send,109,
0.553096,send,110,
0.553261,send,111,
0.55337,send,112,
0.553487,send,113,
0.55359,send,114,
0.553695,send,115,
0.55382,send,116,
0.553992,send,117,
0.554167,send,118,
0.554377,send,119,
0.554732,send,120,
0.555257,send,121,
0.555578,send,122,
0.556273,ack,113,
0.556304,ack,109,
0.556904,ack,110,
0.556923,ack,115,
0.557415,ack,112,
0.557857,ack,111,
0.55792,ack,114,
0.55807,ack,117,
0.558164,ack,120,
0.558386,ack,118,
0.558399,ack,119,
0.558776,ack,116,
0.558883,ack,121,
0.559487,ack,122,
0.653979,timeout,107,deneme=0
0.654025,retransmit,107,
0.654031,timeout,108,deneme=0
0.654558,retransmit,108,
0.658223,ack,108,
0.754676,timeout,107,deneme=1
0.755492,retransmit,107,
0.759287,ack,107,
0.759857,send,123,
0.760315,send,124,
0.760723,send,125,
0.761107,send,126,
0.761911,send,127,
0.763008,send,128,
0.763524,send,129,
0.763541,send,130,
0.764243,send,131,
0.764854,send,132,
0.765359,send,133,
0.765774,send,134,
0.766582,send,135,
0.767099,send,136,
0.767452,send,137,
0.767762,send,138,
