t_rel_s,event,seq,info
0.0,meta_received,-1,medium.bin
0.001806,data_received,0,
0.002651,data_received,2,
0.00286,data_received,1,
0.003071,data_received,7,
0.003582,data_received,3,
0.003984,data_received,8,
0.004423,data_received,10,
0.004778,data_received,5,
0.005217,data_received,6,
0.006115,data_received,12,
0.006541,data_received,11,
0.006673,data_received,14,
0.007025,data_received,13,
0.007175,data_received,15,
0.007203,data_received,16,
0.007577,data_received,17,
0.007947,data_received,18,
0.00844,data_received,19,
0.10482,data_received,4,
0.106898,data_received,9,
0.108248,dup_data,15,
0.111021,data_received,20,
0.112455,data_received,22,
0.112501,data_received,21,
0.112647,data_received,23,
0.113954,data_received,26,
0.114566,data_received,25,
0.115192,data_received,24,
0.11522,data_received,27,
0.116141,data_received,28,
0.116661,data_received,30,
0.116962,data_received,31,
0.118127,data_received,32,
0.118688,data_received,34,
0.119017,data_received,33,
0.119444,data_received,36,
0.119831,data_received,35,
0.21194,dup_data,21,
0.212224,dup_data,22,
0.213526,dup_data,24,
0.214061,data_received,37,
0.21489,data_received,38,
0.215298,data_received,39,
0.21613,data_received,40,
0.216328,data_received,29,
0.216597,data_received,42,
0.216763,data_received,43,
0.219048,data_received,45,
0.219492,data_received,46,
0.219705,data_received,47,
0.220113,data_received,48,
0.220439,data_received,49,
0.220677,data_received,53,
0.220917,data_received,52,
0.221257,data_received,51,
0.221401,data_received,55,
0.221765,data_received,50,
0.22195,data_received,56,
0.318006,data_received,41,
0.318804,dup_data,42,
0.319385,data_received,44,
0.322825,data_received,54,
0.32421,data_received,57,
0.324547,data_received,58,
0.324976,data_received,59,
0.325785,data_received,60,
0.32729,data_received,63,
0.327555,data_received,61,
0.328167,data_received,64,
0.329512,data_received,65,
0.329976,data_received,68,
0.330437,data_received,67,
0.330627,data_received,70,
0.330948,data_received,69,
0.331429,data_received,71,
0.332211,data_received,72,
0.332728,data_received,75,
0.33294,data_received,74,
0.33313,data_received,73,
0.333162,data_received,76,
0.333354,data_received,77,
0.428893,data_received,62,
0.429565,data_received,66,
0.433208,dup_data,73,
0.43503,data_received,78,
0.436115,data_received,81,
0.436544,data_received,79,
0.439082,data_received,80,
0.439199,data_received,82,
0.440381,data_received,83,
0.441619,data_received,85,
0.442674,data_received,86,
0.443802,data_received,87,
0.444452,data_received,88,
0.444681,data_received,89,
0.444852,data_received,90,
0.445067,data_received,92,
0.445255,data_received,93,
0.44546,data_received,94,
0.445618,data_received,95,
0.535276,dup_data,80,
0.538495,data_received,84,
0.539784,data_received,96,
0.542646,data_received,97,
0.543655,data_received,98,
0.544263,data_received,99,
0.545354,data_received,100,
0.545868,data_received,101,
0.546588,data_received,102,
0.547355,data_received,103,
0.548459,data_received,105,
0.549062,data_received,106,
0.5494,data_received,104,
0.549895,data_received,91,
0.552296,data_received,107,
0.553133,data_received,113,
0.553304,data_received,109,
0.553527,data_received,110,
0.553803,data_received,112,
0.553975,data_received,115,
0.55421,data_received,114,
0.554519,data_received,111,
0.554801,data_received,117,
0.555085,data_received,118,
0.555273,data_received,119,
0.555396,data_received,116,
0.555536,data_received,120,
0.555776,data_received,121,
0.556069,data_received,122,
0.654133,data_received,108,
0.755315,dup_data,107,
0.760617,data_received,124,
0.761691,data_received,125,
0.762394,data_received,126,
0.763423,data_received,123,
0.763896,data_received,127,
0.76447,data_received,128,
0.764529,data_received,129,
0.765127,data_received,131,
0.767348,data_received,133,
0.767689,data_received,132,
0.768042,data_received,134,
0.768293,data_received,135,
0.768913,data_received,138,
0.769086,data_received,136,
0.76927,data_received,137,
0.769778,data_received,139,
0.770631,data_received,140,
0.771251,data_received,143,
0.771421,data_received,142,
0.771601,data_received,141,
0.864266,dup_data,128,
0.868654,data_received,145,
0.869131,data_received,144,
0.965471,data_received,130,
0.969566,dup_data,144,
0.971007,data_received,148,
0.971099,data_received,149,
0.971713,data_received,146,
0.973873,data_received,150,
0.974963,data_received,151,
0.976623,data_received,152,
0.977054,data_received,155,
0.9779,data_received,153,
0.978143,data_received,154,
0.978343,data_received,156,
