scenario,mode,file,filesize,payload_size,window,timeout,loss_rate,delay_ms,repeat,completion_time_s,throughput_kbps,goodput_kbps,data_packets_sent,retransmissions,retransmission_rate,timeouts,acks_received,dup_acks,dup_data_server,failed_packets,avg_rtt_ms,min_rtt_ms,max_rtt_ms,integrity_ok
S1,stop-and-wait,small.bin,51200,256,1,0.08,0.03,1.0,0,1.388075,327.994,295.085,210,10,0.0476,10,200,0,6,0,2.687,1.73,3.847,1
S1,stop-and-wait,small.bin,51200,256,1,0.08,0.03,1.0,1,1.174737,383.868,348.674,208,8,0.0385,8,200,0,2,0,2.476,1.601,3.551,1
S1,stop-and-wait,small.bin,51200,256,1,0.08,0.03,1.0,2,1.254375,361.225,326.537,209,9,0.0431,9,200,0,3,0,2.481,1.412,3.409,1
S1,stop-and-wait,small.bin,51200,512,1,0.08,0.03,1.0,0,0.589748,743.477,694.534,104,4,0.0385,4,100,0,1,0,2.473,1.38,3.416,1
S1,stop-and-wait,small.bin,51200,512,1,0.08,0.03,1.0,1,0.998428,460.267,410.245,109,9,0.0826,9,100,0,2,0,2.524,1.55,3.791,1
S1,stop-and-wait,small.bin,51200,512,1,0.08,0.03,1.0,2,0.498319,871.426,821.964,103,3,0.0291,3,100,0,1,0,2.4,1.609,3.503,1
S1,stop-and-wait,small.bin,51200,1024,1,0.08,0.03,1.0,0,0.459864,976.046,890.699,54,4,0.0741,4,50,0,1,0,2.505,1.593,3.536,1
S1,stop-and-wait,small.bin,51200,1024,1,0.08,0.03,1.0,1,0.297959,1450.617,1374.687,52,2,0.0385,2,50,0,1,0,2.535,1.62,3.145,1
S1,stop-and-wait,small.bin,51200,1024,1,0.08,0.03,1.0,2,0.381205,1155.641,1074.488,53,3,0.0566,3,50,0,2,0,2.57,1.811,3.381,1
S1,stop-and-wait,small.bin,51200,1400,1,0.08,0.03,1.0,0,0.42201,1077.037,970.594,41,4,0.0976,4,37,0,2,0,2.451,1.572,3.432,1
S1,stop-and-wait,small.bin,51200,1400,1,0.08,0.03,1.0,1,0.178089,2388.474,2299.978,38,1,0.0263,1,37,0,1,0,2.435,1.604,3.14,1
S1,stop-and-wait,small.bin,51200,1400,1,0.08,0.03,1.0,2,0.677193,721.331,604.85,44,7,0.1591,7,37,0,4,0,2.768,1.789,3.891,1
S1,sliding-window,small.bin,51200,256,16,0.08,0.03,1.0,0,0.78175,599.025,523.952,216,16,0.0741,17,200,0,10,0,4.372,1.968,7.619,1
S1,sliding-window,small.bin,51200,256,16,0.08,0.03,1.0,1,0.471651,965.289,868.438,210,10,0.0476,10,200,0,4,0,5.151,1.783,8.247,1
S1,sliding-window,small.bin,51200,256,16,0.08,0.03,1.0,2,0.541376,840.969,756.591,210,10,0.0476,10,200,0,3,0,4.391,1.513,6.724,1
S1,sliding-window,small.bin,51200,512,16,0.08,0.03,1.0,0,0.274304,1629.197,1493.232,106,6,0.0566,7,100,0,1,0,4.193,1.671,6.466,1
S1,sliding-window,small.bin,51200,512,16,0.08,0.03,1.0,1,0.276927,1598.546,1479.092,105,5,0.0476,5,100,0,2,0,4.538,2.332,7.506,1
S1,sliding-window,small.bin,51200,512,16,0.08,0.03,1.0,2,0.355537,1256.959,1152.059,106,6,0.0566,6,100,0,3,0,4.469,2.025,8.134,1
