mode,loss_rate,completion_time_s,throughput_kbps,goodput_kbps,retransmissions,retransmission_rate,timeouts,avg_rtt_ms,failed_packets,integrity_ok,n
sliding-window,0.0,0.024,16993.215,16747.885,0.0,0.0,0.0,5.25,0.0,1.0,3
sliding-window,0.02,0.128,3573.345,3422.586,1.667,0.032,1.667,4.69,0.0,1.0,3
sliding-window,0.05,0.259,1882.94,1685.952,5.333,0.096,5.667,3.898,0.0,1.0,3
sliding-window,0.1,0.261,1879.852,1570.015,9.0,0.151,9.667,3.878,0.0,1.0,3
sliding-window,0.2,0.606,1076.496,717.666,25.667,0.333,28.0,3.214,0.0,1.0,3
sliding-window,0.3,0.927,968.581,465.792,53.333,0.515,54.667,2.95,0.333,0.667,3
stop-and-wait,0.0,0.136,3054.334,3010.238,0.0,0.0,0.0,2.496,0.0,1.0,2
stop-and-wait,0.02,0.379,1401.477,1324.488,3.0,0.055,3.0,2.496,0.0,1.0,2
stop-and-wait,0.05,0.5,1062.64,979.006,4.5,0.081,4.5,2.529,0.0,1.0,2
stop-and-wait,0.1,1.228,448.14,352.25,13.5,0.21,14.0,2.548,0.0,1.0,2
stop-and-wait,0.2,2.399,270.405,170.91,28.0,0.359,28.0,2.572,0.0,1.0,2
stop-and-wait,0.3,3.194,192.226,214.3,37.5,0.501,39.0,2.636,0.5,0.5,2
